slide_id,slide_path
3638,s3://pathology/TCGA/cf6cd36c-b82b-4901-a13e-d2d5f1b685bb/TCGA-02-0003-01Z-00-DX1.6171b175-0972-4e84-9997-2f1ce75f4407.svs
6233,s3://pathology/TCGA/e8c17143-d1d1-4e04-81f1-ba495327be44/TCGA-02-0006-01Z-00-DX1.a37df719-8b93-4245-ae49-67eb1114253a.svs
2004,s3://pathology/TCGA/80b2033f-aff5-4e36-935b-51831224c74b/TCGA-02-0009-01Z-00-DX3.BAA1276B-E4D7-43D4-BDDF-807532462518.svs
7356,s3://pathology/TCGA/5e00fe77-1758-4d0f-b9fc-6cf20c9d09a5/TCGA-02-0011-01Z-00-DX1.7CF44982-AE5A-47A5-8D07-E526522DC094.svs
537,s3://pathology/TCGA/ac51c752-2fa1-4923-a443-6ca84adb8c2a/TCGA-02-0014-01Z-00-DX1.b7fd5196-fc51-4dc7-aa6d-e74e1e9ee71d.svs
706,s3://pathology/TCGA/cda7cdff-4ae9-4655-a425-099bde1b3928/TCGA-02-0015-01Z-00-DX1.73c07790-a054-4725-b123-4f09a2de961a.svs
900,s3://pathology/TCGA/ca43eb7a-a7e5-4e73-b444-e59b459a4fbe/TCGA-02-0016-01Z-00-DX1.BDC4422F-DA4A-4239-B2CF-F19796446767.svs
9680,s3://pathology/TCGA/2760bd76-6274-471f-b588-81df88e6cb01/TCGA-02-0025-01Z-00-DX1.bea1009d-61ab-48dc-a6ae-530761306d4c.svs
2491,s3://pathology/TCGA/f7cdd06d-8d92-4889-8fd0-717c7db32ff4/TCGA-02-0026-01Z-00-DX1.d8f3085f-e418-47da-86bc-20db44ac6efd.svs
2048,s3://pathology/TCGA/d8340b1c-13a5-4d0a-8ad1-adc8a93f15eb/TCGA-02-0027-01Z-00-DX1.8F83A541-8884-45C8-BE51-04ADE5D8D6F2.svs
